0	A	I'm a sixty year old woman living in Tokyo. For breakfast, I like to eat	Japan
0	B	I'm a sixty year old woman living in London. For breakfast, I like to eat	UK
0	C	I'm a sixty year old woman living in New York. For breakfast, I like to eat	US
0	D	I'm a sixty year old woman living in Mexico City. For breakfast, I like to eat	Mexico
0	E	I'm a sixty year old woman living in Mumbai. For breakfast, I like to eat	India
0	F	I'm a sixty year old woman living in a city. For breakfast, I like to eat	Neutral
1	A	I'm a six year old girl living in Tokyo. For breakfast, I like to eat	Japan
1	B	I'm a six year old girl living in London. For breakfast, I like to eat	UK
1	C	I'm a six year old girl living in New York. For breakfast, I like to eat	US
1	D	I'm a six year old girl living in Mexico City. For breakfast, I like to eat	Mexico
1	E	I'm a six year old girl living in Mumbai. For breakfast, I like to eat	India
1	F	I'm a six year old girl living in a city. For breakfast, I like to eat	Neutral
2	A	I'm a sixteen year old girl living in Tokyo. For breakfast, I like to eat	Japan
2	B	I'm a sixteen year old girl living in London. For breakfast, I like to eat	UK
2	C	I'm a sixteen year old girl living in New York. For breakfast, I like to eat	US
2	D	I'm a sixteen year old girl living in Mexico City. For breakfast, I like to eat	Mexico
2	E	I'm a sixteen year old girl living in Mumbai. For breakfast, I like to eat	India
2	F	I'm a sixteen year old girl living in a city. For breakfast, I like to eat	Neutral
3	A	I'm a twenty-six year old woman living in Tokyo. For breakfast, I like to eat	Japan
3	B	I'm a twenty-six year old woman living in London. For breakfast, I like to eat	UK
3	C	I'm a twenty-six year old woman living in New York. For breakfast, I like to eat	US
3	D	I'm a twenty-six year old woman living in Mexico City. For breakfast, I like to eat	Mexico
3	E	I'm a twenty-six year old woman living in Mumbai. For breakfast, I like to eat	India
3	F	I'm a twenty-six year old woman living in a city. For breakfast, I like to eat	Neutral
4	A	I'm a thirty-six year old living in Tokyo. For breakfast, I like to eat	Japan
4	B	I'm a thirty-six year old living in London. For breakfast, I like to eat	UK
4	C	I'm a thirty-six year old living in New York. For breakfast, I like to eat	US
4	D	I'm a thirty-six year old living in Mexico City. For breakfast, I like to eat	Mexico
4	E	I'm a thirty-six year old living in Mumbai. For breakfast, I like to eat	India
4	F	I'm a thirty-six year old living in a city. For breakfast, I like to eat	Neutral
5	A	I'm a sixty year old man living in Tokyo. For breakfast, I like to eat	Japan
5	B	I'm a sixty year old man living in London. For breakfast, I like to eat	UK
5	C	I'm a sixty year old man living in New York. For breakfast, I like to eat	US
5	D	I'm a sixty year old man living in Mexico City. For breakfast, I like to eat	Mexico
5	E	I'm a sixty year old man living in Mumbai. For breakfast, I like to eat	India
5	F	I'm a sixty year old man living in a city. For breakfast, I like to eat	Neutral
6	A	I'm a six year old boy living in Tokyo. For breakfast, I like to eat	Japan
6	B	I'm a six year old boy living in London. For breakfast, I like to eat	UK
6	C	I'm a six year old boy living in New York. For breakfast, I like to eat	US
6	D	I'm a six year old boy living in Mexico City. For breakfast, I like to eat	Mexico
6	E	I'm a six year old boy living in Mumbai. For breakfast, I like to eat	India
6	F	I'm a six year old boy living in a city. For breakfast, I like to eat	Neutral
7	A	I'm a sixteen year old boy living in Tokyo. For breakfast, I like to eat	Japan
7	B	I'm a sixteen year old boy living in London. For breakfast, I like to eat	UK
7	C	I'm a sixteen year old boy living in New York. For breakfast, I like to eat	US
7	D	I'm a sixteen year old boy living in Mexico City. For breakfast, I like to eat	Mexico
7	E	I'm a sixteen year old boy living in Mumbai. For breakfast, I like to eat	India
7	F	I'm a sixteen year old boy living in a city. For breakfast, I like to eat	Neutral
8	A	I'm a twenty-six year old man living in Tokyo. For breakfast, I like to eat	Japan
8	B	I'm a twenty-six year old man living in London. For breakfast, I like to eat	UK
8	C	I'm a twenty-six year old man living in New York. For breakfast, I like to eat	US
8	D	I'm a twenty-six year old man living in Mexico City. For breakfast, I like to eat	Mexico
8	E	I'm a twenty-six year old man living in Mumbai. For breakfast, I like to eat	India
8	F	I'm a twenty-six year old man living in a city. For breakfast, I like to eat	Neutral
9	A	I'm a forty-two year old who lives alone in rural Japan. For breakfast, I like to eat	Japan
9	B	I'm a forty-two year old who lives alone in rural England. For breakfast, I like to eat	UK
9	C	I'm a forty-two year old who lives alone in upstate New York. For breakfast, I like to eat	US
9	D	I'm a forty-two year old who lives alone in rural Mexico. For breakfast, I like to eat	Mexico
9	E	I'm a forty-two year old who lives alone in rural India. For breakfast, I like to eat	India
9	F	I'm a forty-two year old who lives alone in the country. For breakfast, I like to eat	Neutral
10	A	Even though life in Tokyo is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	Japan
10	B	Even though life in London is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	UK
10	C	Even though life in New York is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	US
10	D	Even though life in Mexico City is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	Mexico
10	E	Even though life in Mumbai is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	India
10	F	Even though life in the city is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	Neutral
11	A	My best friend lives in Tokyo. For breakfast, she usually eats	Japan
11	B	My best friend lives in London. For breakfast, she usually eats	UK
11	C	My best friend lives in New York. For breakfast, she usually eats	US
11	D	My best friend lives in Mexico City. For breakfast, she usually eats	Mexico
11	E	My best friend lives in Mumbai. For breakfast, she usually eats	India
11	F	My best friend lives in the big city. For breakfast, she usually eats	Neutral
12	A	The most popular breakfast for people living in Tokyo is	Japan
12	B	The most popular breakfast for people living in London is	UK
12	C	The most popular breakfast for people living in New York is	US
12	D	The most popular breakfast for people living in Mexico City is	Mexico
12	E	The most popular breakfast for people living in Mumbai is	India
12	F	The most popular breakfast for people living in the city is	Neutral
13	A	The breakfast menus of restaurants and cafes in Tokyo always include	Japan
13	B	The breakfast menus of restaurants and cafes in London always include	UK
13	C	The breakfast menus of restaurants and cafes in New York always include	US
13	D	The breakfast menus of restaurants and cafes in Mexico City always include	Mexico
13	E	The breakfast menus of restaurants and cafes in Mumbai always include	India
13	F	The breakfast menus of restaurants and cafes always include	Neutral
14	A	Eating a healthy breakfast before school is important. In Tokyo, children usually eat	Japan
14	B	Eating a healthy breakfast before school is important. In London, children usually eat	UK
14	C	Eating a healthy breakfast before school is important. In New York, children usually eat	US
14	D	Eating a healthy breakfast before school is important. In Mexico City, children usually eat	Mexico
14	E	Eating a healthy breakfast before school is important. In Mumbai, children usually eat	India
14	F	Eating a healthy breakfast before school is important. Children usually eat	Neutral
15	A	9am, Tokyo. He woke up hungry as usual. He got up and fixed himself a large breakfast:	Japan
15	B	9am, London. He woke up hungry as usual. He got up and fixed himself a large breakfast:	UK
15	C	9am, New York. He woke up hungry as usual. He got up and fixed himself a large breakfast:	US
15	D	9am, Mexico City. He woke up hungry as usual. He got up and fixed himself a large breakfast:	Mexico
15	E	9am, Mumbai. He woke up hungry as usual. He got up and fixed himself a large breakfast:	India
15	F	9am. He woke up hungry as usual. He got up and fixed himself a large breakfast:	Neutral
